member_id,timestamp,day_of_week,hour_of_day,track_name,artist,album,language,genre,ms_played,skipped,shuffle,offline,private_session,start_reason,end_reason,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,loudness,popularity
1,2025-11-01T22:38:57Z,Saturday,22,Sunflower,Post Malone,Hollywoods Bleeding,English,Hip-Hop,139993,True,True,False,False,clickrow,fwdbtn,0.775,0.59,0.722,89.87,0.216,0.045,0.007,-6.0,84
1,2025-11-02T21:12:00Z,Sunday,21,Heeriye,Jasleen Royal,Heeriye,Hindi,Hindi Pop,242873,False,False,False,False,trackdone,trackdone,0.69,0.535,0.685,110.65,0.369,0.047,0.0,-5.87,86
1,2025-11-04T22:52:35Z,Tuesday,22,Perfect,Ed Sheeran,Divide,English,Pop,238610,False,True,False,False,trackdone,trackdone,0.645,0.488,0.646,96.74,0.475,0.026,0.0,-7.92,89
1,2025-11-05T17:36:14Z,Wednesday,17,Satranga,Arijit Singh,Animal,Hindi,Bollywood,158618,False,False,False,False,trackdone,trackdone,0.509,0.452,0.387,85.09,0.419,0.049,0.0,-7.53,71
1,2025-11-05T20:23:44Z,Wednesday,20,Ilahi,Arijit Singh,Yeh Jawaani Hai Deewani,Hindi,Bollywood,38617,True,False,True,False,fwdbtn,fwdbtn,0.666,0.672,0.849,121.31,0.204,0.027,0.0,-6.89,76
1,2025-11-06T21:24:40Z,Thursday,21,Phir Le Aaya Dil,Arijit Singh,Barfi!,Hindi,Bollywood,67902,True,True,False,False,clickrow,fwdbtn,0.405,0.292,0.309,80.11,0.785,0.044,0.005,-13.27,70
1,2025-11-06T22:48:16Z,Thursday,22,Kesariya,Arijit Singh,Brahmastra,Hindi,Bollywood,218349,False,False,False,False,trackdone,trackdone,0.647,0.543,0.813,90.73,0.275,0.072,0.0,-8.14,66
1,2025-11-07T12:36:25Z,Friday,12,Heeriye,Jasleen Royal,Heeriye,Hindi,Hindi Pop,52816,True,False,False,True,trackdone,fwdbtn,0.696,0.498,0.864,93.27,0.436,0.023,0.005,-7.88,76
1,2025-11-07T23:23:06Z,Friday,23,Phir Le Aaya Dil,Arijit Singh,Barfi!,Hindi,Bollywood,125592,True,False,False,False,trackdone,fwdbtn,0.457,0.311,0.159,72.56,0.765,0.011,0.004,-13.11,71
1,2025-11-08T01:13:15Z,Saturday,1,Ranjha,B Praak,Shershaah,Hindi,Bollywood,43460,True,False,False,False,trackdone,fwdbtn,0.454,0.499,0.381,84.83,0.606,0.032,0.003,-10.57,70
1,2025-11-09T22:47:10Z,Sunday,22,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,150529,False,True,False,False,clickrow,trackdone,0.59,0.426,0.562,94.99,0.438,0.056,0.001,-8.83,74
1,2025-11-09T22:49:21Z,Sunday,22,Blinding Lights,The Weeknd,After Hours,English,Pop,154097,False,False,False,False,trackdone,trackdone,0.734,0.732,0.656,171.55,0.0,0.027,0.0,-6.15,82
1,2025-11-10T08:29:54Z,Monday,8,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,54632,True,False,False,False,fwdbtn,fwdbtn,0.59,0.512,0.499,89.41,0.427,0.056,0.004,-7.34,65
1,2025-11-10T12:40:55Z,Monday,12,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,83102,True,False,False,True,clickrow,fwdbtn,0.612,0.448,0.475,83.69,0.445,0.06,0.0,-8.22,68
1,2025-11-10T17:13:04Z,Monday,17,Kesariya,Arijit Singh,Brahmastra,Hindi,Bollywood,135903,False,False,False,False,trackdone,trackdone,0.585,0.573,0.741,99.1,0.368,0.045,0.0,-6.28,82
1,2025-11-10T20:35:21Z,Monday,20,Heeriye,Jasleen Royal,Heeriye,Hindi,Hindi Pop,179195,False,False,False,False,trackdone,trackdone,0.729,0.523,0.752,98.81,0.397,0.043,0.003,-8.65,73
1,2025-11-12T18:25:33Z,Wednesday,18,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,191995,False,False,False,False,appload,trackdone,0.546,0.551,0.482,89.21,0.483,0.049,0.0,-8.41,72
1,2025-11-12T18:49:19Z,Wednesday,18,Heeriye,Jasleen Royal,Heeriye,Hindi,Hindi Pop,252418,False,True,False,False,trackdone,endplay,0.734,0.473,0.738,92.21,0.42,0.041,0.003,-6.8,81
1,2025-11-13T17:48:15Z,Thursday,17,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,94887,True,True,False,False,clickrow,fwdbtn,0.596,0.467,0.514,90.95,0.499,0.055,0.012,-9.7,68
1,2025-11-13T22:23:56Z,Thursday,22,Ilahi,Arijit Singh,Yeh Jawaani Hai Deewani,Hindi,Bollywood,268208,False,True,False,False,fwdbtn,trackdone,0.621,0.74,0.824,126.41,0.167,0.05,0.0,-6.64,75
1,2025-11-14T20:36:41Z,Friday,20,lovely,Billie Eilish,lovely,English,Pop,220260,False,False,False,False,fwdbtn,trackdone,0.478,0.229,0.298,112.09,0.606,0.02,0.0,-10.21,81
1,2025-11-14T23:21:21Z,Friday,23,Softly,Karan Aujla,Making Memories,Hindi,Punjabi,212631,False,False,False,False,clickrow,trackdone,0.736,0.726,0.56,125.63,0.108,0.098,0.0,-7.51,76
1,2025-11-16T08:07:29Z,Sunday,8,Apna Bana Le,Arijit Singh,Bhediya,Hindi,Bollywood,158459,False,True,False,False,trackdone,trackdone,0.627,0.552,0.619,100.62,0.367,0.035,0.01,-7.12,79
1,2025-11-16T22:40:56Z,Sunday,22,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,257886,False,True,False,True,trackdone,trackdone,0.611,0.422,0.539,92.63,0.43,0.04,0.0,-7.62,70
1,2025-11-17T08:34:32Z,Monday,8,Night Changes,One Direction,FOUR,English,Pop,242300,False,False,False,False,clickrow,trackdone,0.604,0.503,0.602,115.73,0.21,0.058,0.0,-6.35,76
1,2025-11-17T21:01:55Z,Monday,21,lovely,Billie Eilish,lovely,English,Pop,169085,False,True,False,False,trackdone,endplay,0.473,0.301,0.217,103.55,0.671,0.066,0.007,-10.98,83
1,2025-11-17T22:18:38Z,Monday,22,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,250610,False,False,False,False,trackdone,trackdone,0.593,0.424,0.537,94.85,0.422,0.07,0.0,-7.62,78
1,2025-11-19T01:16:02Z,Wednesday,1,Phir Le Aaya Dil,Arijit Singh,Barfi!,Hindi,Bollywood,153393,False,False,False,False,clickrow,trackdone,0.44,0.363,0.288,78.04,0.799,0.045,0.0,-10.09,71
1,2025-11-19T18:50:03Z,Wednesday,18,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,266007,False,False,False,False,trackdone,trackdone,0.6,0.449,0.443,93.3,0.453,0.035,0.0,-8.73,73
1,2025-11-19T22:23:32Z,Wednesday,22,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,203852,False,False,False,True,clickrow,endplay,0.617,0.417,0.615,99.47,0.362,0.018,0.007,-8.99,81
1,2025-11-20T12:55:02Z,Thursday,12,Blinding Lights,The Weeknd,After Hours,English,Pop,51336,True,True,False,False,clickrow,fwdbtn,0.81,0.792,0.677,173.56,0.005,0.063,0.0,-3.23,87
1,2025-11-20T23:23:42Z,Thursday,23,Husn,Anuv Jain,Husn,Hindi,Indie,213674,False,False,False,False,appload,trackdone,0.419,0.314,0.415,76.2,0.674,0.035,0.003,-11.33,78
1,2025-11-21T20:44:34Z,Friday,20,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,178270,False,True,False,False,trackdone,trackdone,0.546,0.446,0.531,87.99,0.479,0.039,0.0,-9.21,66
1,2025-11-21T22:52:35Z,Friday,22,Softly,Karan Aujla,Making Memories,Hindi,Punjabi,197946,False,True,False,False,clickrow,trackdone,0.734,0.74,0.631,114.51,0.073,0.121,0.001,-5.95,83
