member_id,timestamp,day_of_week,hour_of_day,track_name,artist,album,language,genre,ms_played,skipped,shuffle,offline,private_session,start_reason,end_reason,danceability,energy,valence,tempo,acousticness,speechiness,instrumentalness,loudness,popularity,log_ms_played,hour_binned,hour_sin,hour_cos,cluster
1,2025-11-01 22:38:57+00:00,Saturday,22,Sunflower,Post Malone,Hollywoods Bleeding,English,Hip-Hop,139993,True,True,False,False,clickrow,fwdbtn,0.775,0.59,0.722,89.87,0.216,0.045,0.007,-6.0,84,11.849354843530191,Late Night,-0.5000000000000004,0.8660254037844384,2
1,2025-11-02 21:12:00+00:00,Sunday,21,Heeriye,Jasleen Royal,Heeriye,Hindi,Hindi Pop,242873,False,False,False,False,trackdone,trackdone,0.69,0.535,0.685,110.65,0.369,0.047,0.0,-5.87,86,12.400298069326952,Late Night,-0.7071067811865477,0.7071067811865474,2
1,2025-11-04 22:52:35+00:00,Tuesday,22,Perfect,Ed Sheeran,Divide,English,Pop,238610,False,True,False,False,trackdone,trackdone,0.645,0.488,0.646,96.74,0.475,0.026,0.0,-7.92,89,12.38258988984648,Late Night,-0.5000000000000004,0.8660254037844384,2
1,2025-11-05 17:36:14+00:00,Wednesday,17,Satranga,Arijit Singh,Animal,Hindi,Bollywood,158618,False,False,False,False,trackdone,trackdone,0.509,0.452,0.387,85.09,0.419,0.049,0.0,-7.53,71,11.9742603792422,Evening,-0.9659258262890684,-0.2588190451025206,1
1,2025-11-05 20:23:44+00:00,Wednesday,20,Ilahi,Arijit Singh,Yeh Jawaani Hai Deewani,Hindi,Bollywood,38617,True,False,True,False,fwdbtn,fwdbtn,0.666,0.672,0.849,121.31,0.204,0.027,0.0,-6.89,76,10.561473768002484,Evening,-0.8660254037844386,0.5000000000000001,3
1,2025-11-06 21:24:40+00:00,Thursday,21,Phir Le Aaya Dil,Arijit Singh,Barfi!,Hindi,Bollywood,67902,True,True,False,False,clickrow,fwdbtn,0.405,0.292,0.309,80.11,0.785,0.044,0.005,-13.27,70,11.125835495192266,Late Night,-0.7071067811865477,0.7071067811865474,1
1,2025-11-06 22:48:16+00:00,Thursday,22,Kesariya,Arijit Singh,Brahmastra,Hindi,Bollywood,218349,False,False,False,False,trackdone,trackdone,0.647,0.543,0.813,90.73,0.275,0.072,0.0,-8.14,66,12.293854558913708,Late Night,-0.5000000000000004,0.8660254037844384,2
1,2025-11-07 12:36:25+00:00,Friday,12,Heeriye,Jasleen Royal,Heeriye,Hindi,Hindi Pop,52816,True,False,False,True,trackdone,fwdbtn,0.696,0.498,0.864,93.27,0.436,0.023,0.005,-7.88,76,10.874588387570205,Afternoon,1.2246467991473532e-16,-1.0,2
1,2025-11-07 23:23:06+00:00,Friday,23,Phir Le Aaya Dil,Arijit Singh,Barfi!,Hindi,Bollywood,125592,True,False,False,False,trackdone,fwdbtn,0.457,0.311,0.159,72.56,0.765,0.011,0.004,-13.11,71,11.740801798979046,Late Night,-0.2588190451025215,0.965925826289068,1
1,2025-11-08 01:13:15+00:00,Saturday,1,Ranjha,B Praak,Shershaah,Hindi,Bollywood,43460,True,False,False,False,trackdone,fwdbtn,0.454,0.499,0.381,84.83,0.606,0.032,0.003,-10.57,70,10.67961926320976,Late Night,0.2588190451025207,0.9659258262890684,1
1,2025-11-09 22:47:10+00:00,Sunday,22,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,150529,False,True,False,False,clickrow,trackdone,0.59,0.426,0.562,94.99,0.438,0.056,0.001,-8.83,74,11.92191767885455,Late Night,-0.5000000000000004,0.8660254037844384,2
1,2025-11-09 22:49:21+00:00,Sunday,22,Blinding Lights,The Weeknd,After Hours,English,Pop,154097,False,False,False,False,trackdone,trackdone,0.734,0.732,0.656,171.55,0.0,0.027,0.0,-6.15,82,11.94534404263865,Late Night,-0.5000000000000004,0.8660254037844384,0
1,2025-11-10 08:29:54+00:00,Monday,8,Kho Gaye Hum Kahan,Jasleen Royal,Baar Baar Dekho,Hindi,Bollywood,54632,True,False,False,False,fwdbtn,fwdbtn,0.59,0.512,0.499,89.41,0.427,0.056,0.004,-7.34,65,10.908393374763929,Morning,0.8660254037844387,-0.4999999999999998,2
